epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,7145.47,0.96954,0.51453,0.97509,0.81177,0.77333,0.80313,0.50787,1.37684,0.76052,1.20251,0.005941,0.005941,0.005941
125,7203.29,0.97539,0.50683,0.97873,0.80244,0.78625,0.80684,0.51264,1.36871,0.7624,1.19885,0.005908,0.005908,0.005908
126,7261.94,0.96669,0.51007,0.9736,0.80725,0.78256,0.80684,0.51343,1.37192,0.76325,1.20883,0.005875,0.005875,0.005875
127,7350.54,0.9604,0.50151,0.97254,0.80586,0.77044,0.80461,0.51232,1.38084,0.77199,1.22337,0.005842,0.005842,0.005842
128,7403.03,0.96317,0.50727,0.97544,0.81166,0.7788,0.81289,0.51355,1.37945,0.77055,1.22315,0.005809,0.005809,0.005809
129,7458.18,0.96154,0.50885,0.9726,0.80991,0.78137,0.80806,0.5128,1.3892,0.76265,1.22352,0.005776,0.005776,0.005776
130,7514.51,0.9593,0.50267,0.97572,0.80435,0.78112,0.81112,0.5165,1.37972,0.75521,1.22122,0.005743,0.005743,0.005743
131,7572,0.94557,0.49462,0.96882,0.81198,0.7834,0.80654,0.51103,1.38817,0.7653,1.22079,0.00571,0.00571,0.00571
132,7629.35,0.95234,0.50082,0.96828,0.77387,0.80859,0.80616,0.51011,1.38541,0.76685,1.22133,0.005677,0.005677,0.005677
133,7687.13,0.95501,0.4989,0.96971,0.78648,0.79887,0.81482,0.51307,1.3864,0.76084,1.21523,0.005644,0.005644,0.005644
134,7745.33,0.93515,0.49183,0.96632,0.81269,0.78728,0.8141,0.51333,1.39166,0.76306,1.21667,0.005611,0.005611,0.005611
135,7803.73,0.92914,0.49424,0.9595,0.78795,0.79843,0.80971,0.51143,1.38408,0.75888,1.21546,0.005578,0.005578,0.005578
136,7862.3,0.93714,0.49183,0.96604,0.7903,0.79661,0.80941,0.50871,1.39848,0.76682,1.22573,0.005545,0.005545,0.005545
137,7920.25,0.92679,0.48031,0.96037,0.78513,0.80137,0.80754,0.50667,1.39912,0.78427,1.22951,0.005512,0.005512,0.005512
138,7979.15,0.91945,0.48089,0.95887,0.81491,0.7617,0.80334,0.5078,1.39308,0.77785,1.23624,0.005479,0.005479,0.005479
139,8037.59,0.93001,0.48346,0.96256,0.80225,0.78327,0.80703,0.50976,1.3902,0.77996,1.22958,0.005446,0.005446,0.005446
140,8096.2,0.91539,0.48565,0.95293,0.78651,0.8106,0.81058,0.51406,1.38321,0.7573,1.2268,0.005413,0.005413,0.005413
141,8154.71,0.91053,0.47231,0.96112,0.80379,0.78164,0.81079,0.51052,1.39837,0.76903,1.23699,0.00538,0.00538,0.00538
142,8213.83,0.91315,0.47829,0.95756,0.77771,0.8124,0.81337,0.51675,1.38795,0.77253,1.2334,0.005347,0.005347,0.005347
143,8271.86,0.91226,0.47562,0.95532,0.80566,0.78806,0.80761,0.51267,1.38718,0.772,1.22956,0.005314,0.005314,0.005314
144,8330.91,0.90777,0.47585,0.95961,0.79272,0.7905,0.80834,0.50907,1.39881,0.77862,1.23249,0.005281,0.005281,0.005281
145,8389.09,0.91245,0.47824,0.95569,0.81039,0.78015,0.81077,0.51068,1.40287,0.76368,1.23849,0.005248,0.005248,0.005248
146,8447.76,0.89986,0.47407,0.95126,0.79236,0.78983,0.81267,0.51171,1.39748,0.77909,1.23951,0.005215,0.005215,0.005215
147,8506.33,0.89155,0.46446,0.95015,0.78421,0.79074,0.80459,0.51453,1.38908,0.78338,1.2368,0.005182,0.005182,0.005182
148,8564.96,0.89491,0.46903,0.95122,0.79043,0.80105,0.80809,0.51345,1.39873,0.78488,1.23999,0.005149,0.005149,0.005149
149,8623.46,0.89527,0.47222,0.94926,0.78917,0.79515,0.80435,0.51166,1.40016,0.77588,1.24541,0.005116,0.005116,0.005116
150,8681.51,0.87691,0.46038,0.94766,0.79858,0.80152,0.80417,0.51263,1.3991,0.78297,1.24319,0.005083,0.005083,0.005083
151,8738.47,0.88563,0.4664,0.9464,0.81333,0.76942,0.80554,0.51311,1.39595,0.77632,1.23601,0.00505,0.00505,0.00505
152,8795.44,0.88309,0.46257,0.94546,0.80267,0.80549,0.80992,0.51119,1.40346,0.76479,1.24073,0.005017,0.005017,0.005017
153,8853.92,0.87822,0.46083,0.93931,0.81579,0.78986,0.80916,0.50873,1.40547,0.77558,1.24559,0.004984,0.004984,0.004984
154,8911.03,0.87923,0.45929,0.94382,0.81773,0.78524,0.80752,0.50877,1.40173,0.77497,1.24549,0.004951,0.004951,0.004951
155,8966.59,0.87843,0.4565,0.9441,0.80091,0.79304,0.80634,0.51025,1.39747,0.7657,1.24195,0.004918,0.004918,0.004918
156,9022.37,0.8714,0.45831,0.94241,0.79878,0.79153,0.80522,0.50943,1.39965,0.77272,1.24494,0.004885,0.004885,0.004885
157,9078.27,0.86521,0.4617,0.93862,0.81074,0.78084,0.79992,0.50521,1.40492,0.77654,1.24863,0.004852,0.004852,0.004852
158,9134.89,0.87349,0.45536,0.9388,0.79192,0.79047,0.7983,0.50297,1.40947,0.78616,1.2556,0.004819,0.004819,0.004819
159,9189.99,0.87394,0.45995,0.94137,0.81232,0.78116,0.80201,0.50598,1.40915,0.78066,1.25464,0.004786,0.004786,0.004786
160,9245.22,0.86197,0.45315,0.93986,0.80129,0.78184,0.80251,0.50905,1.40962,0.77509,1.25442,0.004753,0.004753,0.004753
161,9308.45,0.8459,0.44479,0.93066,0.79047,0.7952,0.8039,0.50996,1.40182,0.78303,1.25288,0.00472,0.00472,0.00472
162,9362.43,0.84819,0.44481,0.92989,0.79435,0.79128,0.80854,0.51018,1.40683,0.77491,1.25321,0.004687,0.004687,0.004687
163,9417.23,0.8396,0.44468,0.93149,0.80252,0.79491,0.80678,0.51125,1.40605,0.77926,1.25035,0.004654,0.004654,0.004654
164,9472.04,0.84945,0.44624,0.93351,0.79924,0.79918,0.80799,0.51325,1.41013,0.77577,1.25751,0.004621,0.004621,0.004621
165,9582.65,0.85293,0.44602,0.93689,0.80203,0.79217,0.80386,0.51048,1.41338,0.78652,1.263,0.004588,0.004588,0.004588
166,9631.67,0.84705,0.44392,0.93378,0.79154,0.80678,0.80464,0.51457,1.40983,0.78089,1.26342,0.004555,0.004555,0.004555
167,9681.99,0.84027,0.43964,0.92988,0.79077,0.80074,0.8058,0.51317,1.41346,0.77775,1.26253,0.004522,0.004522,0.004522
168,9734.43,0.83686,0.43771,0.92474,0.79553,0.78854,0.8022,0.5106,1.4095,0.78773,1.25736,0.004489,0.004489,0.004489
169,9787.94,0.82695,0.43473,0.92457,0.77532,0.80979,0.80227,0.51466,1.40895,0.7931,1.25738,0.004456,0.004456,0.004456
170,9865.19,0.83144,0.43184,0.9289,0.79031,0.79336,0.80152,0.51259,1.41234,0.79386,1.26059,0.004423,0.004423,0.004423
171,9915.14,0.82894,0.4361,0.9297,0.7974,0.7837,0.7982,0.51045,1.41694,0.79088,1.26702,0.00439,0.00439,0.00439
172,9968.25,0.82963,0.43235,0.92562,0.79151,0.79814,0.80095,0.51239,1.41541,0.79137,1.27002,0.004357,0.004357,0.004357
